City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,0,AR,1530723600,80,-54.81,-68.31,35.6,5.82
1,tuatapere,92,NZ,1530727406,100,-46.13,167.69,47.73,6.78
2,albany,40,US,1530726660,41,42.65,-73.75,93.2,5.82
3,khatanga,76,RU,1530727654,57,71.98,102.47,46.38,7.23
4,buraydah,0,SA,1530723600,15,26.33,43.97,107.6,12.75
5,kodiak,1,US,1530723180,66,39.95,-94.76,87.8,12.75
6,hilo,20,US,1530723360,83,19.71,-155.08,73.4,3.36
7,puerto ayora,40,EC,1530723600,83,-0.74,-90.35,75.2,18.34
8,airai,24,TL,1530727654,95,-8.93,125.41,64.47,1.41
9,barrow,48,AR,1530727655,68,-38.31,-60.23,46.47,6.22
10,cururupu,64,BR,1530727655,94,-1.82,-44.87,79.68,5.66
11,rikitea,64,PF,1530727655,100,-23.12,-134.97,73.2,10.8
12,sao joao da barra,75,BR,1530723600,73,-21.64,-41.05,77.0,11.41
13,port alfred,0,ZA,1530727655,97,-33.59,26.89,57.0,7.11
14,hami,56,CN,1530727656,55,42.84,93.51,73.38,2.64
15,hermanus,8,ZA,1530727656,93,-34.42,19.24,39.63,2.19
16,fortuna,0,ES,1530725400,51,38.18,-1.13,95.0,5.82
17,busselton,80,AU,1530727656,100,-33.64,115.35,54.21,23.78
18,chumikan,92,RU,1530727656,95,54.72,135.31,43.86,4.32
19,klaksvik,24,FO,1530726600,93,62.23,-6.59,53.6,16.11
20,bredasdorp,0,ZA,1530723600,81,-34.53,20.04,51.8,5.82
21,avarua,56,CK,1530727424,100,-21.21,-159.78,73.38,3.65
22,saint-philippe,1,CA,1530726900,43,45.36,-73.48,89.6,3.36
23,jamestown,0,AU,1530727420,40,-33.21,138.6,54.93,13.94
24,arraial do cabo,40,BR,1530723600,69,-22.97,-42.02,77.0,5.82
25,pevek,12,RU,1530727658,79,69.7,170.27,45.57,5.21
26,torbay,20,CA,1530723600,47,47.66,-52.73,80.6,14.99
27,east london,0,ZA,1530724740,46,-33.02,27.91,53.6,6.93
28,katsuura,75,JP,1530725880,94,33.93,134.5,77.0,10.29
29,carnarvon,0,ZA,1530727659,54,-30.97,22.13,28.56,2.64
30,butaritari,92,KI,1530727659,100,3.07,172.79,82.11,5.21
31,hofn,90,IS,1530723600,87,64.25,-15.21,53.6,4.7
32,kieta,92,PG,1530727659,100,-6.22,155.63,77.25,4.43
33,chapais,90,CA,1530723600,53,49.78,-74.86,77.0,10.29
34,maun,0,BW,1530723600,45,-19.99,23.42,66.2,8.05
35,port-gentil,75,GA,1530723600,88,-0.72,8.78,77.0,11.41
36,taperoa,0,BR,1530727375,38,-7.21,-36.83,83.91,13.49
37,nanortalik,92,GL,1530727410,93,60.14,-45.24,37.83,30.38
38,fort nelson,40,CA,1530723600,67,58.81,-122.69,62.6,2.24
39,port blair,92,IN,1530727494,100,11.67,92.75,77.52,17.74
40,papetoai,20,PF,1530725400,78,-17.5,-149.87,77.0,2.24
41,ugoofaaru,36,MV,1530727660,99,5.67,73.0,83.55,9.24
42,cape town,0,ZA,1530723600,87,-33.93,18.42,53.6,4.7
43,ponta delgada,75,PT,1530725400,64,37.73,-25.67,69.8,14.99
44,punta arenas,90,CL,1530723600,100,-53.16,-70.91,32.0,5.82
45,san cristobal,75,EC,1530723600,62,-0.39,-78.55,57.2,20.8
46,bluff,92,AU,1530727661,97,-23.58,149.07,59.25,7.67
47,vila velha,20,BR,1530727200,55,-3.71,-38.6,86.0,16.11
48,dikson,88,RU,1530727662,100,73.51,80.55,36.48,23.11
49,cockburn town,32,TC,1530727444,97,21.46,-71.14,82.74,18.07
50,faya,20,SA,1530723600,73,18.39,42.45,75.2,6.93
51,la ronge,90,CA,1530723600,63,55.1,-105.3,60.8,10.29
52,shahreza,0,IR,1530727663,25,32.01,51.87,56.19,4.43
53,cedar city,1,US,1530723180,12,37.68,-113.06,82.4,16.11
54,cabo san lucas,5,MX,1530722940,48,22.89,-109.91,89.6,4.7
55,kahului,1,US,1530723360,83,20.89,-156.47,75.2,11.41
56,awbari,0,LY,1530727663,9,26.59,12.77,100.2,13.82
57,ribeira grande,40,PT,1530725400,64,38.52,-28.7,73.4,10.29
58,pierre,1,US,1530726780,69,44.37,-100.35,77.0,14.99
59,narsaq,75,GL,1530726600,53,60.91,-46.05,50.0,20.8
60,tevaitoa,88,PF,1530727455,100,-16.78,-151.5,77.97,3.2
61,alyangula,0,AU,1530727664,100,-13.85,136.42,73.65,11.03
62,upernavik,64,GL,1530727664,100,72.79,-56.15,33.87,8.01
63,nchelenge,0,ZM,1530727664,40,-9.35,28.74,70.05,5.77
64,sirjan,0,IR,1530727407,12,29.44,55.67,71.13,13.49
65,nalut,0,LY,1530727493,16,31.86,10.98,99.12,10.02
66,buluang,75,PH,1530723600,78,10.47,123.98,80.6,6.93
67,dutlwe,0,BW,1530727665,59,-23.98,23.93,53.4,8.79
68,la romana,40,DO,1530723600,52,18.43,-68.97,91.4,13.87
69,yellowknife,40,CA,1530723600,51,62.45,-114.38,60.8,9.17
70,sedalia,40,US,1530726900,58,38.7,-93.23,89.6,6.93
71,new norfolk,75,AU,1530723600,93,-42.78,147.06,48.2,5.82
72,wanxian,76,CN,1530727666,98,30.8,108.39,70.86,1.97
73,zhigansk,92,RU,1530727398,95,66.77,123.37,60.33,10.36
74,canutama,8,BR,1530727460,34,-6.53,-64.38,95.43,3.2
75,sabha,0,LY,1530727666,10,27.03,14.43,99.03,9.24
76,san patricio,92,PY,1530727666,100,-26.98,-56.83,59.7,2.3
77,ulkan,48,RU,1530727666,79,57.24,107.32,63.93,4.99
78,qaanaaq,36,GL,1530727667,95,77.48,-69.36,32.7,2.42
79,taoudenni,92,ML,1530727423,8,22.68,-3.98,111.72,12.37
80,segezha,92,RU,1530727667,94,63.74,34.31,59.97,2.64
81,hobart,75,AU,1530723600,93,-42.88,147.33,48.2,5.82
82,vardo,90,US,1530726900,78,39.62,-77.74,96.8,12.75
83,burnie,88,AU,1530727450,100,-41.05,145.91,54.39,22.77
84,mataura,88,NZ,1530727392,94,-46.19,168.86,38.73,3.53
85,luganville,92,VU,1530727667,100,-15.51,167.18,75.54,19.08
86,north bend,90,US,1530726960,93,43.41,-124.22,59.0,8.05
87,vaini,100,IN,1530727668,98,15.34,74.49,69.42,6.67
88,cidreira,92,BR,1530727668,97,-30.17,-50.22,53.94,8.79
89,filingue,0,NE,1530727668,47,14.35,3.32,92.19,5.55
90,saskylakh,92,RU,1530727399,98,71.97,114.09,48.18,10.69
91,mar del plata,0,AR,1530727668,79,-46.43,-67.52,37.2,4.65
92,ancud,92,CL,1530727668,100,-41.87,-73.83,45.3,8.46
93,kuminskiy,24,RU,1530727669,70,58.67,66.57,61.95,4.32
94,bethel,90,US,1530724680,93,60.79,-161.76,53.6,14.99
95,port elizabeth,20,US,1530726900,49,39.31,-74.98,91.4,11.41
96,mbini,40,GQ,1530723600,88,1.58,9.62,80.6,11.41
97,atuona,0,PF,1530727670,99,-9.8,-139.03,80.31,9.46
98,leningradskiy,12,RU,1530727520,95,69.38,178.42,31.8,3.98
99,fort saint james,0,CA,1530727670,66,54.43,-124.25,63.12,5.66
100,abu dhabi,0,AE,1530723600,67,24.47,54.37,95.0,10.29
101,nikolskoye,20,RU,1530725400,63,59.7,30.79,64.4,2.24
102,mahon,20,IE,1530725400,73,51.89,-8.4,69.8,9.17
103,bouguenais,0,FR,1530727200,68,47.18,-1.62,71.6,9.17
104,sinnamary,76,GF,1530727672,100,5.38,-52.96,77.25,3.65
105,lompoc,1,US,1530725700,56,34.64,-120.46,69.8,6.22
106,roald,0,NO,1530726600,82,62.58,6.12,69.8,17.22
107,obu,75,JP,1530725400,94,35.02,136.95,77.0,10.29
108,touros,8,BR,1530727672,64,-5.2,-35.46,84.27,18.52
109,forestville,75,CA,1530723600,60,48.74,-69.09,71.6,11.41
110,esperance,40,TT,1530723600,83,10.24,-61.45,84.2,18.34
111,coihaique,0,CL,1530723600,68,-45.58,-72.07,39.2,5.82
112,phulabani,76,IN,1530727673,71,20.47,84.23,79.95,9.01
113,nampula,0,MZ,1530727673,56,-15.12,39.26,69.42,8.23
114,sur,0,OM,1530727673,80,22.57,59.53,89.58,5.99
115,fougamou,36,GA,1530727674,99,-1.22,10.59,72.39,1.63
116,guerrero negro,0,MX,1530727674,54,27.97,-114.04,79.32,7.56
117,tiksi,0,RU,1530727407,74,71.64,128.87,63.12,3.2
118,hasaki,75,JP,1530725400,88,35.73,140.83,78.8,17.22
119,lavrentiya,0,RU,1530727674,90,65.58,-170.99,47.01,8.23
120,kiama,0,AU,1530723600,93,-34.67,150.86,46.4,8.05
121,antofagasta,40,CL,1530723600,67,-23.65,-70.4,60.8,8.05
122,faanui,36,PF,1530727675,100,-16.48,-151.75,78.96,6.11
123,solnechnyy,0,RU,1530727675,80,50.72,136.64,52.95,4.65
124,longyearbyen,75,NO,1530726600,87,78.22,15.63,42.8,9.17
125,constitucion,40,MX,1530722460,56,23.99,-104.67,71.6,4.7
126,coahuayana,24,MX,1530727676,47,18.62,-100.35,83.37,2.98
127,lima,0,PE,1530727676,64,-12.06,-77.04,66.18,3.09
128,saint george,0,GR,1530726600,54,39.45,22.34,82.4,4.7
129,ippy,24,CF,1530727677,82,6.26,21.2,74.73,4.76
130,quartz hill,1,US,1530724800,26,34.65,-118.22,84.2,9.17
131,norman wells,75,CA,1530723600,67,65.28,-126.83,60.8,5.82
132,kroonstad,0,ZA,1530727677,59,-27.65,27.24,37.83,5.99
133,hithadhoo,8,MV,1530727678,100,-0.6,73.08,83.1,4.76
134,ciudad bolivar,56,VE,1530727463,62,8.12,-63.55,87.96,10.47
135,kirakira,76,SB,1530727678,100,-10.46,161.92,80.22,10.69
